,text,line,start_pos,end_pos,file,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
5818,"['the', 'inspectors', 'identified', 'finding', 'of', 'very', 'low', 'safety', 'significance', 'for', 'failure', 'to', 'assure', 'that', 'the', 'design', 'basis', 'for', 'the', 'dry', 'cooling', 'tower', 'sump', 'pumps', 'was', 'properly']",39,6,194,ML071350662.txt,D,D,0.7993217706680298,0.800000011920929,0.18823529411764706
6055,"['the', 'failure', 'to', 'locate', 'the', 'pump', 'in', 'location', 'free', 'from', 'potentially', 'seismic', 'induced', 'damage', 'was', 'inconsistent', 'with', 'the', 'final', 'safety', 'analysis']",161,1070,1215,ML071350662.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6078,"['the', 'failure', 'to', 'follow', 'procedures', 'was', 'violation', 'of', 'technical', 'specification']",167,1434,1518,ML071350662.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6212,"['procedure', 'rpm', 'control', 'of', 'material', 'and', 'was', 'not', 'properly', 'implemented', 'to', 'assure', 'compliance', 'with', 'cfr']",72,1932,2094,ML092050743.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
6323,"['unit', 'and', 'egs', 'fouling', 'action', 'curve']",122,0,69,ML092050743.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6386,"['the', 'hose', 'fitting', 'was', 'stored', 'at', 'this', 'location', 'for', 'an', 'indeterminate', 'time', 'period', 'and', 'was', 'available', 'for', 'use', 'by']",162,1249,1364,ML092050743.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6387,"['although', 'this', 'issue', 'was', 'licensee', 'it', 'is', 'being', 'treated', 'as', 'an', 'nrcidentified', 'because', 'the', 'inspectors', 'through', 'an', 'integrated', 'review', 'of', 'corrective', 'action', 'program', 'radiation', 'survey', 'and', 'radiation', 'protection', 'that', 'the', 'licensee', 'failed', 'to', 'identify', 'safety', 'and', 'job', 'performance', 'related']",162,1364,1714,ML092050743.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6388,"['the', 'inspectors', 'determined', 'the', 'licensee', 'failed', 'to', 'assess', 'the', 'potential', 'for', 'workers', 'to', 'receive', 'an', 'unplanned', 'exposure', 'from', 'the', 'contaminated', 'hose']",162,1714,1878,ML092050743.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6401,"['contrary', 'to', 'this', 'dominion', 'did', 'not', 'perform', 'survey', 'of', 'hose', 'fitting', 'that', 'was', 'later', 'determined', 'to', 'have', 'radiation', 'level', 'as', 'high', 'as', 'mrem', 'per', 'and', 'consequently', 'failed', 'to', 'establish', 'appropriate', 'radiological', 'labeling', 'and', 'controls', 'for', 'the', 'indeterminate', 'time', 'that', 'the', 'article', 'was', 'available', 'for', 'use', 'without', 'any', 'identification', 'of', 'the', 'associated', 'radiological']",164,2300,2694,ML092050743.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6504,"['both', 'water', 'level', 'above', 'the', 'indicating', 'range', 'and', 'safety', 'relief', 'valves', 'opening', 'to', 'relieve', 'are', 'not', 'consistent', 'with', 'the', 'requirements', 'of', 'the', 'alternative', 'shutdown', 'system', 'as', 'described', 'in', 'the', 'unit', 'fire', 'protection', 'program', 'and', 'this', 'issue', 'is', 'performance']",190,2052,2329,ML092050743.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6547,"['cfr', 'appendix', 'criterion', 'in', 'that', 'measures', 'shall', 'be', 'established', 'to', 'assure', 'that', 'the', 'applicable', 'regulatory', 'requirements', 'and', 'the', 'design', 'for', 'those', 'structures', 'and', 'are', 'correctly', 'translated', 'into', 'and']",212,2407,2722,ML092050743.txt,D,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6641,"['performed', 'may', 'oe', 'reports', 'radiochemistry', 'trending', 'indicates', 'probable', 'fuel', 'rod', 'millstone', 'unit', 'radiochemistry', 'trending', 'indicates', 'probable', 'fuel', 'rod', 'failure', 'in', 'the', 'cycle', 'millstone', 'unit', 'dominion', 'apparent', 'cause', 'evaluation', 'trip', 'of', 'edg', 'after', 'abnormal', 'indications', 'were', 'dominion', 'root', 'cause', 'evaluation']",240,1244,1666,ML092050743.txt,D,P,0.7993217706680298,0.800000011920929,0.18823529411764706
6663,"['condition', 'report', 'vds', 'instrumentation', 'out', 'of', 'calibration']",247,1773,1849,ML092050743.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
